Feature,Importance
age,0.417741935483871
bmi,0.09677419354838715
ever_married_Yes,0.09516129032258071
work_type_Private,0.06612903225806457
heart_disease,0.048387096774193616
avg_glucose_level,0.04677419354838715
hypertension,0.02580645161290329
smoking_status_smokes,0.02419354838709683
gender_Male,0.02258064516129038
work_type_Self-employed,0.012903225806451668
smoking_status_formerly smoked,0.008064516129032317
smoking_status_never smoked,0.008064516129032306
work_type_Never_worked,0.0
gender_Other,-0.00161290322580645
work_type_children,-0.024193548387096753
Residence_type_Urban,-0.027419354838709643
